category;category_title;path;id;filename;caption;order
cards;;cards;47;Nalasa_Kladbishe_3_id47.jpg;надпись 1;1
cards;;cards;47;Nalasa_Kladbishe_3_id47.jpg;надпись 2;1
cards;;cards;14;Nizhnie_Meteski_1_id14.jpg;надпись 3;1
cards;;cards;13;Nizhnie_Meteski_2_id13.jpg;надпись 4;1
cards;;cards;4;Nizhnyaya_Ura_1_id4.jpg;надпись 5;1
cards;;cards;5;Nizhnyaya_Ura_2_id5.jpg;надпись 6;1
cards;;cards;6;Nizhnyaya_Ura_3_id6.jpg;надпись 7;1
cards;;cards;58;Panovka_id58.jpg;надпись 8;1
cards;;cards;52;Russko_Tatarskaya_Aisha_1_id52.jpg;надпись 9;1
cards;;cards;53;Russko_Tatarskaya_Aisha_2_id53.jpg;надпись 10;1
cards;;cards;74;Shadki_1_id74.jpg;надпись 11;1
cards;;cards;75;Shadki_2_id75.jpg;надпись 12;1
cards;;cards;21;Srednie_Aty_1_id21.jpg;надпись 13;1
cards;;cards;20;Srednie_Aty_2_id20.jpg;надпись 14;1
cards;;cards;17;Srednyaya_Serda_1_id17.jpg;надпись 15;1
cards;;cards;18;Srednyaya_Serda_2_id18.jpg;надпись 16;1
cards;;cards;22;Srednyaya_Serda_Kladbishe_1_id22.jpg;надпись 17;1
cards;;cards;23;Srednyaya_Serda_Kladbishe_2_id23.jpg;надпись 18;1
cards;;cards;24;Srednyaya_Serda_Kladbishe_3_id24.jpg;надпись 19;1
cards;;cards;25;Srednyaya_Serda_Kladbishe_4_id25.jpg;надпись 20;1
cards;;cards;42;Staraya_Masra_1_id42.jpg;надпись 21;1
cards;;cards;43;Staraya_Masra_2_id43.jpg;надпись 22;1
cards;;cards;7;Stariy_Ashit_1_id7.jpg;надпись 23;1
cards;;cards;8;Stariy_Ashit_2_id8.jpg;надпись 24;1
cards;;cards;9;Stariy_Ashit_3_id9.jpg;надпись 25;1
cards;;cards;63;Starye_Zuri_id63.jpg;надпись 26;1
cards;;cards;3;Staryi_Kishet_id3.jpg;надпись 27;1
cards;;cards;57;Tatarskaya_Aisha_id57.jpg;надпись 28;1
cards;;cards;62;Tatarskoe_Hodyashevo_1_id62.jpg;надпись 29;1
cards;;cards;61;Tatarskoe_Hodyashevo_2_id61.jpg;надпись 30;1
cards;;cards;60;Tatarskoe_Hodyashevo_3_id60.jpg;надпись 31;1
cards;;cards;11;Tatarskoe_Kadryakovo_1_id11.jpg;надпись 32;1
cards;;cards;12;Tatarskoe_Kadryakovo_2_id12.jpg;надпись 33;1
cards;;cards;73;Tautermen_id73.jpg;надпись 34;1
cards;;cards;54;Tuktamysh_1_id54.jpg;надпись 35;1
cards;;cards;55;Tuktamysh_2_id55.jpg;надпись 36;1
cards;;cards;71;Tyamti_id71.jpg;надпись 37;1
cards;;cards;68;Tyamti-Meteski_1_id68.jpg;надпись 38;1
cards;;cards;69;Tyamti-Meteski_2_id69.jpg;надпись 39;1
cards;;cards;67;Tyamti-Meteski_3_id67.jpg;надпись 40;1
cards;;cards;59;Uryvkino_id59.jpg;надпись 41;1
cards;;cards;19;Verhnie_Aty_id19.jpg;надпись 42;1
cards;;cards;64;Verhnie_Kibya_Kozi_1_id64.jpg;надпись 43;1
cards;;cards;65;Verhnie_Kibya_Kozi_2_id65.jpg;надпись 44;1
cards;;cards;28;Yamashurma_1_id28.jpg;надпись 45;1
cards;;cards;30;Yamashurma_2_id30.jpg;надпись 46;1
cards;;cards;31;Yamashurma_3_id31.jpg;надпись 47;1
cards;;cards;33;Yamashurma_4_id33.jpg;надпись 48;1
