ID;NAME;Lat;Lon;ADMIN;LOCAL;DATE;FRONT;WHOLE;PLACE;POSITION;YEAR;PERSON;GENDER;SIZE;FONT;LANGUAGE;SKETCHFAB
1;Куркачинское надгробие 2;56.01066;49.61834;Высокогорский;Куркачи;16;нет;да;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-9eb50312aa54416e85926ea3218a1bfe
2;Хохловское надгробие;56.04421;49.39041;Высокогорский;Хохлово;16;нет;да;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/hohlovo-tombstone-004fda75ccff4851a1f2cc91aad3562d
3;Старокишитское надгробие;56.25246;49.62586;Арский;Старый Кишит;16;нет;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/starokishit-thombstone-7b9dfc082e3b430ea4423faee31aee51
4;Нижнеурское надгробие 1;56.39280;49.61323;Арский;Нижняя Ура;17;да;да;кладбище;вертикаль;1688-1689;;;;;;https://sketchfab.com/3d-models/1nizhneur-thombstone-1-8381e689b1d846a2b37a928d899941c8
5;Нижнеурское надгробие 2;56.39276;49.61331;Арский;Нижняя Ура;17;да;нет;кладбище;вертикаль;1687-1688;;;;;;https://sketchfab.com/3d-models/2nizhneur-thombstone-2-8e6d8978754546c8ae438859fd2182f1
6;Нижнеурское надгробие 3;56.39361;49.61378;Арский;Нижняя Ура;16;да;да;кладбище;вертикаль;1546;;;;;;https://sketchfab.com/3d-models/3nizhneur-thombstone-3-67d2bbbbffee47b6842f9e66f465f16a
7;Староашитское надгробие 1;56.34586;49.64117;Арский;Старый Ашит;14;да;да;отдельно;вертикаль;;Афах;ж;;;;https://sketchfab.com/3d-models/1-12ca43ca688047e4812285362e0ce908
8;Староашитское надгробие 2;56.34505;49.64122;Арский;Старый Ашит;14;да;да;отдельно;вертикаль;1357;Салих;м;;;;https://sketchfab.com/3d-models/2-8695ae01d858455fb51c4e0b2c82543c
9;Староашитское надгробие 3;56.34635;49.64150;Арский;Старый Ашит;16;нет;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/3-bc9950491d344770a65bc4ab6b34d73b
10;Качелинское надгробие;56.05456;49.82737;Арский;Качелино;17;да;да;кладбище;вертикаль;1684-1685;;;;;;https://sketchfab.com/3d-models/kachelino-tombstone-94e38ee3a0534b76868ff1d9990b9bd0
11;Кодряковское надгробие 1;56.034405;49.77395;Арский;Татарское Кодряково;17;да;нет;кладбище;горизонталь;1627-1628;;;;;;https://sketchfab.com/3d-models/1-1a760cb3146f4b27ac0aff52f90bd07f
12;Кодряковское надгробие 2;56.03415;49.77372;Арский;Татарское Кодряково;16;да;нет;кладбище;горизонталь;1540-1541;;;;;;https://sketchfab.com/3d-models/2-d419d3fc6a804b598028f923995f5f23
13;Нижнеметескинское надгробие 2;56.13566;49.91494;Арский;Нижние Метески;16;да;да;кладбище;вертикаль;1541-1542;Аман-Ходжа хафиз;м;;;;https://sketchfab.com/3d-models/2-34792b02639241f69d4d607d6e7d7780
14;Нижнеметескинское надгробие 1;56.13565;49.91493;Арский;Нижние Метески;16;да;да;кладбище;вертикаль;1541-1542;Джийан-Ходжа;м;;;;https://sketchfab.com/3d-models/1-e2b1234729fb4c77900a8f5fa1111d68
15;Казылинское надгробие;56.14125;49.95387;Арский;Казылино;16;да;нет;отдельно;вертикаль;1538-1539;;;;;;https://sketchfab.com/3d-models/kazylino-tombstone-d55886c9c67f4c7bbe07a1f28ecca435
16;Арское надгробие;56.07135;49.88905;Арский;Арск;16;да;да;кладбище;вертикаль;1543-1544;;;;;;https://sketchfab.com/3d-models/rsk-tombstone-f0325abbba6c496a83a6d70b45d4eae5
17;Среднесердинское надгробие 1;56.10569;49.57815;Арский;Средняя Серда;16;нет;да;отдельно;вертикаль;;;;;;;https://sketchfab.com/3d-models/1sr-serda-thombst-1-662ce02244144d15a0f5c724b4dba727
18;Среднесердинское надгробие 2;56.10567;49.57810;Арский;Средняя Серда;16;нет;да;отдельно;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-105e053942e34a9099a332b0e8436a8d
19;Верхнеатынское надгробие;56.14159;49.69614;Арский;Верхние Аты;16;да;да;кладбище;вертикаль;1538;;;;;;https://sketchfab.com/3d-models/verhnie-aty-tombstone-dcca98f09bf84050a294b2267cf3c832
20;Среднеатынское надгробие 2;56.12310;49.67720;Арский;Средние Аты;16;да;да;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/2-39c991ecd6e9479a9c07caee8bb0a88f
21;Среднеатынское надгробие 1;56.12266;49.67709;Арский;Средние Аты;16;да;нет;кладбище;горизонталь;;;;;;;https://sketchfab.com/3d-models/1-e352b5784b6b4220bbc219a01a8751b2
22;Среднесердинское кладбище. Надгробие 1;56.11099;49.59069;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;1541-1542;;ж;;;;https://sketchfab.com/3d-models/1-926ce3bf034149b4a47cb4f6b5868148
23;Среднесердинское кладбище. Надгробие 2;56.11105;49.59058;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;1551;Гази-Мардан;м;;;;https://sketchfab.com/3d-models/2-2df70dceca7a4e6787218ba6f01832d4
24;Среднесердинское кладбище. Надгробие 3;56.11120;49.59035;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/1-a58ec0f683794c079ffacb15538b6c65
25;Среднесердинское кладбище. Надгробие 4;56.11162;49.59068;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;;;https://sketchfab.com/3d-models/4-c4d498d73ad24868a5cb53697b6f6b5f
