ID;NAME;Lat;Lon;ADMIN;LOCAL;DATE;FRONT;WHOLE;PLACE;POSITION;YEAR;PERSON;GENDER;DEATH;depth;width;height;DESCRIPTION;TYPE
1;Куркачинское надгробие 2;56.01066;49.61834;Высокогорский;Куркачи;14;нет;да;отдельно;горизонталь;;;;;25;54;140;;
2;Хохловское надгробие;56.04421;49.39041;Высокогорский;Хохлово;16;нет;да;отдельно;горизонталь;;;;;26;53;80;;
3;Старокишитское надгробие;56.25246;49.62586;Арский;Старый Кишит;16;нет;да;отдельно;вертикаль;;;;;30;56;160;;
4;Нижнеурское надгробие 1;56.39280;49.61323;Арский;Нижняя Ура;17;да;да;кладбище;вертикаль;;;;;15;46;75;;
5;Нижнеурское надгробие 2;56.39276;49.61331;Арский;Нижняя Ура;17;да;нет;кладбище;вертикаль;;;;;21;57;185;;
6;Нижнеурское надгробие 3;56.39361;49.61378;Арский;Нижняя Ура;16;да;да;кладбище;вертикаль;;;;;13;48;162;;
7;Староашитское надгробие 1;56.34586;49.64117;Арский;Старый Ашит;14;да;да;отдельно;вертикаль;;Афах;ж;;15;50;136;;
8;Староашитское надгробие 2;56.34505;49.64122;Арский;Старый Ашит;14;да;да;отдельно;вертикаль;;Салих;м;;22;47;112;;
9;Староашитское надгробие 3;56.34635;49.64150;Арский;Старый Ашит;16;нет;да;отдельно;вертикаль;;;;;12;45;90;;
10;Качелинское надгробие;56.05456;49.82737;Арский;Качелино;17;да;да;кладбище;вертикаль;;;;;11;60;97;;
11;Кодряковское надгробие 1;56.034405;49.77395;Арский;Татарское Кодряково;16;да;нет;кладбище;горизонталь;;;;;21;53;82;;
12;Кодряковское надгробие 2;56.03415;49.77372;Арский;Татарское Кодряково;16;да;нет;кладбище;горизонталь;;;;;18;44;113;;
13;Нижнеметескинское надгробие 2;56.13566;49.91494;Арский;Нижние Метески;16;да;да;кладбище;вертикаль;1541-1542;Аман-Ходжа хафиз;м;убит;25;54;180;;
14;Нижнеметескинское надгробие 1;56.13565;49.91493;Арский;Нижние Метески;16;да;да;кладбище;вертикаль;1541-1542;Джийан-Ходжа;м;убит;22;65;84;;
15;Казылинское надгробие;56.14125;49.95387;Арский;Казылино;16;да;нет;отдельно;вертикаль;;;;;13;61;110;;
16;Арское надгробие;56.07135;49.88905;Арский;Арск;16;да;да;кладбище;вертикаль;;;;;18;51;125;;
17;Среднесердинское надгробие 1;56.10569;49.57815;Арский;Средняя Серда;16;нет;да;отдельно;вертикаль;;;;;18;48;120;;
18;Среднесердинское надгробие 2;56.10567;49.57810;Арский;Средняя Серда;16;нет;да;отдельно;горизонталь;;;;;12;47;60;;
19;Верхнеатынское надгробие;56.14159;49.69614;Арский;Верхние Аты;16;да;да;кладбище;вертикаль;;;;;22;52;128;;
20;Среднеатынское надгробие 2;56.12310;49.67720;Арский;Средние Аты;16;да;да;кладбище;горизонталь;;;;;23;50;135;;
21;Среднеатынское надгробие 1;56.12266;49.67709;Арский;Средние Аты;16;да;нет;кладбище;горизонталь;;;;;14;38;102;;
22;Среднесердинское кладбище. Надгробие 1;56.11099;49.59069;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;13;45;67;;
23;Среднесердинское кладбище. Надгробие 2;56.11105;49.59058;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;25;51;95;;
24;Среднесердинское кладбище. Надгробие 3;56.11120;49.59035;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;27;49;150;;
25;Среднесердинское кладбище. Надгробие 4;56.11162;49.59068;Арский;Средняя Серда;16;да;да;кладбище;вертикаль;;;;;22;48;95;;
26;Краснинское надгробие 1;56.06785;49.59547;Высокогорский;Красна;16;да;нет;кладбище;горизонталь;;;;;17;38;115;;
27;Краснинское надгробие 2;56.06773;49.59526;Высокогорский;Красна;17;да;да;кладбище;вертикаль;;;;;17;50;148;;
28;Ямашурминское надгробие 1;55.97923;49.60237;Высокогорский;Ямашурма;16;да;да;кладбище;вертикаль;;;;;17;54;56;;
29;Ямашурминское надгробие 6;55.97884;49.60272;Высокогорский;Ямашурма;17;да;да;кладбище;вертикаль;;;;;26;54;131;;
30;Ямашурминское надгробие 2;55.97903;49.60205;Высокогорский;Ямашурма;16;да;да;кладбище;вертикаль;1399;Исхак;м;;14;46;117;;
31;Ямашурминское надгробие 3;55.97894;49.60236;Высокогорский;Ямашурма;14;да;да;кладбище;вертикаль;;;;;21;38;42;;
32;Ямашурминское надгробие 5;55.97893;49.60260;Высокогорский;Ямашурма;16;да;да;кладбище;вертикаль;;;;;18;48;56;;
33;Ямашурминское надгробие 4;55.97893;49.60262;Высокогорский;Ямашурма;16;нет;да;кладбище;вертикаль;;;;;13;49;60;;
34;Куркачинское надгробие 1;56.01062;49.61825;Высокогорский;Куркачи;16;да;да;отдельно;вертикаль;;;;;16;53;52;;
35;Мемдельское надгробие;56.05.277;48.95071;Высокогорский;Мемдель;16;да;нет;кладбище;горизонталь;;;;;18;49;83;;
36;Чувашлинское надгробие 1;56.06396;49.00279;Высокогорский;Чувашли;16;да;да;кладбище;вертикаль;;;;;17;43;50;;
